"","shrub","epil_fle","tree","salix","rhod_fer","lari_dec","betu_pub"
"PRE","0.64","0.57","0.39","0.38","0.26","0.22","0.17"
"AUC","0.94","0.92","0.92","0.96","0.95","0.92","0.9"
"TSS","0.73","0.71","0.72","0.83","0.79","0.73","0.68"
"SE","0.94","0.89","0.87","0.93","1","0.85","0.9"
"SP","0.79","0.83","0.85","0.89","0.8","0.89","0.78"
"AUC.gen","0.88","0.8","0.9","0.7","0.78","0.81","0.88"
"TSS.gen","0.58","0.62","0.74","0.37","0.31","0.25","0.56"
"SE.gen","0.83","0.89","0.88","0.64","0.57","0.33","0.75"
"SP.gen","0.75","0.73","0.86","0.74","0.74","0.92","0.81"
"var1","vhm","dist_glac","vhm","vhm","vhm","vhm","vhm"
"var1.imp","0.92","0.96","0.89","0.58","0.70","0.66","0.81"
"var2","east_exp","north_exp","north_exp","dist_water","east_exp","sol_rad","rough"
"var2.imp","0.07","0.12","0.04","0.36","0.20","0.20","0.23"
"var3","sol_rad","sol_rad","sol_rad","sol_rad","dem","dist_water",NA
"var3.imp","0.05","0.02","0.03","0.14","0.09","0.06",NA
