;shrub;epil.fle;tree;salix;rhod.fer;lari.dec;betu.pub
PRE;0.64;0.57;0.39;0.38;0.26;0.22;0.17
AUC.GAM;0.78;0.87;0.84;0.45;0.74;0.81;0.73
AUC.GLM;0.71;0.86;0.82;0.71;0.81;0.85;0.62
AUC.RF;0.79;0.81;0.75;0.64;0.78;0.86;0.66
TSS.GAM;0.51;0.64;0.41;-0.06;0.25;0.55;0.27
TSS.GLM;0.4;0.58;0.43;0.26;0.39;0.48;0.12
TSS.RF;0.5;0.38;0.4;0.12;0.46;0.52;0.12
var1;east.exp;dist.glac;dem;dist.water;dem;east.exp;rough
var1.imp.GAM;0.08;0.97;0.05;0.65;0.19;0.02;0.29
var1.imp.GLM;0.16;0.98;0.14;0.38;0.13;0.21;0.32
var1.imp.RF;0.09;0.76;0.15;0.31;0.24;0.16;0.39
var2;rough;north.exp;vhm;vhm;east.exp;vhm;vhm
var2.imp.GAM;0.02;0.15;0.88;0.3;0.17;0.77;0.7
var2.imp.GLM;0.15;0.13;0.78;0.66;0.22;0.5;0.71
var2.imp.RF;0.08;0.11;0.65;0.55;0.23;0.57;0.7
var3;vhm;sol.rad;north.exp;north.exp;vhm;sol.rad;NA
var.imp.GAM;0.83;0.03;0;0.07;0.8;0.1;NA
var3.imp.GLM;0.69;0.07;0.03;0.1;0.74;0.31;NA
var3.imp.RF;0.67;0.11;0.12;0.2;0.47;0.32;NA
